"","x"
"738","Ortona Sand member"
"739","Hames member"
"740","Stevens Sandstone member"
"741","Canyon Del Rey Diatomite member"
"742","McDonald Shale member"
"743","Hercules Shale member"
"744","La Vida member"
"745","Ebenezer member"
"746","Devilwater Shale member"
"747","Screven member"
"748","Berryville Clay member"
"749","Los Laureles Sandstone member"
"750","Whiterock Bluff Shale member"
"751","Frenchman Springs member"
"752","Sandholdt member"
"753","Sandholdt Shale member"
"754","Round Mountain Silt member"
"755","Meigs member"
"756","Tybee Phosphorite member"
"757","Gould Shale member"
"758","Saltos Shale member"
"759","Los Tularcitos member"
"760","Buttonbed Sandstone member"
"761","Robinson Canyon member"
"762","Media Shale member"
"763","Grenloch Sand member"
"764","Carneros Sandstone member"
"765","Sopchoppy member"
"766","Painted Rock Sandstone member"
"767","Santos Shale member"
"768","Burls Creek member"
"769","Abbeville member"
"770","Porters Landing member"
"771","Alloway Clay member"
"772","Heterostegina Limestone member"
"773","Heterostegina member"
"774","Tuffaceous Siltstone member"
"775","Hackberry member"
"776","Nocatee member"
"777","Cymric Shale member"
"778","Salt Creek Shale member"
"779","Shuteston member"
"780","Bucatunna Clay member"
"781","Wygal Sandstone member"
"782","Third Beach member"
"783","Shubuta member"
"784","Klachopis Point member"
"785","Sandersville Limestone member"
"786","Parkers Ferry member"
"787","Basin Creek member"
"788","Pachuta Marl member"
"789","Two Bar Shale member"
"790","Irwinton Sand member"
"791","Dtokoah Point member"
"792","Cocoa Sand member"
"793","North Twistwood Creek member"
"794","Baada Point member"
"795","Welcome Shale member"
"796","Sidney Flat Shale member"
"797","Creola member"
"798","Shipps Creek Shale member"
"799","Gordon Creek Shale member"
"800","Potterchitto member"
"801","Point of Rocks Sandstone member"
"802","Archusa Marl member"
"803","New Hanover member"
"804","Neshoba Sand member"
"805","Lorane Siltstone member"
"806","Canoas Siltstone member"
"807","Elkton Siltstone member"
"808","Uvas Conglomerate member"
"809","Gredal member"
"810","Arroyo Hondo Shale member"
"811","Meridian Sand member"
"812","Mabury Sandstone member"
"813","Mabury member"
"814","Cantua Sandstone member"
"815","Bashi Marl member"
"816","Simsboro Sand member"
"817","Cerros Shale member"
"818","Bells Landing Marl member"
"819","Hooper Clay member"
"820","Greggs Landing Marl member"
"821","Grampian Hills member"
"822","San Carlos Sand member"
"823","Gravel Creek Sand member"
"824","Anchor Bay member"
"825","Matthews Landing Marl member"
"826","Oak Hill member"
"827","Dos Palos Shale member"
"828","Chalybeate Limestone member"
"829","Jericho Run member"
"830","Scotts Hill member"
"831","Perote member"
"832","Shrewsbury member"
"833","Chiwapa Sandstone member"
"834","Brown Mountain Sandstone member"
"835","Azevedo Sandstones member"
"836","Bluffport Marl member"
"837","McNairy Sand member"
"838","Coon Creek member"
"839","Ragged Valley Silt member"
"840","Rollins Sandstone member"
"841","Cusseta Sand member"
"842","Eglinton member"
"843","Odanah member"
"844","Schulz Ranch member"
"845","Lathrop Sand member"
"846","Joaquin Ridge Sandstone member"
"847","Nomad member"
"848","Tibee Creek Marl member"
"849","Chungo member"
"850","DeCourcy member"
"851","Holz Shale member"
"852","Alcalde Shale member"
"853","Hanson member"
"854","Pembina member"
"855","Tupelo member"
"856","Arcola Limestone member"
"857","Virgelle Sandstone member"
"858","Teapot Sandstone member"
"859","San Vicente member"
"860","Gammon member"
"861","Thistle member"
"862","Dobbins Shale member"
"863","Tombigbee Sand member"
"864","Kiser Creek member"
"865","Dowling member"
"866","Ayiyak member"
"867","Dry Hollow member"
"868","Smoky Hill member"
"869","Marshybank member"
"870","Kevin member"
"871","Muskiki member"
"872","Parkman Sandstone member"
"873","Oyster Ridge Sandstone member"
"874","Shale Wall member"
"875","Allan Hollow Shale member"
"876","Fort Hays Limestone member"
"877","Llanada Sandstone member"
"878","Los Gatos Sandstone member"
"879","Baker Canyon Conglomerate member"
"880","Ferdig member"
"881","Waltham Shale member"
"882","Opabin member"
"883","Gallego member"
"884","Carnerada Conglomerate member"
"885","D-cross Tongue member"
"886","Cone member"
"887","Coalville member"
"888","Haven member"
"889","Ernst member"
"890","Vimy member"
"891","Juniper Ridge Conglomerate member"
"892","Sanostee member"
"893","Sunkay member"
"894","Ortigalita Sandstone member"
"895","Farrington Sand member"
"896","Hadley Gravel member"
"897","Belle Fourche member"
"898","Greenhorn Limestone member"
"899","Eoline member"
"900","Floweree member"
"901","Spring Canyon member"
"902","Graneros Shale member"
"903","Papanatas Conglomerate member"
"904","Westgate member"
"905","Newcastle member"
"906","Dowdle member"
"907","Macdougall Point member"
"908","Taft Hill member"
"909","Skull Creek member"
"910","Spinney Hill member"
"911","Wilrich member"
"912","Benbrook member"
"913","J-Sandstone member"
"914","Invincible Point member"
"915","Marys Creek member"
"916","Tussock member"
"917","Mooringsport member"
"918","Waseca member"
"919","Harmon member"
"920","Atlas member"
"921","Wildhorn member"
"922","Sparky member"
"923","Notikewin member"
"924","Crossley Lakes member"
"925","General Petroleum member"
"926","Bulwell member"
"927","Flood member"
"928","Kiowa Shale member"
"929","Rex member"
"930","Cummings member"
"931","Bexar Shale member"
"932","Lloydminster member"
"933","Cadotte member"
"934","Ostracode member"
"935","Gilmore Lake member"
"936","McCloud member"
"937","Dina member"
"938","Center Peak Conglomerate member"
"939","James Limestone member"
"940","Cow Creek Limestone member"
"941","Sunburst Sandstone member"
"942","Rusty Bed member"
"943","Pine Island Shale member"
"944","Pine Island member"
"945","Able member"
"946","Twelve Mile member"
"947","West Felda Shale member"
"948","Givens member"
"949","Moulton member"
"950","Grambling member"
"951","Muddy Sandstone member"
"952","Caspiana member"
"953","Rondon member"
"954","Paterson Island member"
"955","Roaring River member"
"956","Napper member"
"957","Kemik Sandstone member"
"958","Aycock member"
"959","Hughes member"
"960","Elk member"
"961","Glacier Fiord member"
"962","Rector Conglomerate member"
"963","Baccaro Limestone member"
"964","Parleys member"
"965","Sentell member"
"966","Pomeroy Arkose member"
"967","Leton member"
"968","Slidre member"
"969","Passage Beds member"
"970","Snug Harbor Siltstone member"
"971","Buckner Anhydrite member"
